mof_id,LCD,PLD,LFPD,density,ASA,GSA,VSA,PV,VF,GPV,n_atoms,average_mass,heat_capacity_300K,dimension,catenation,metal_type,has_OMS,topology,water_classification,is_synthetic_demo
demo_00000,3.1598915810146293,2.5,3.1372136066865504,0.7879558687080171,194.05089054139253,608.8287479602462,526.7215948971268,2310.9734837186356,0.85,0.6754756501475597,267,11.714113633430832,0.8516550782710248,3,1,Eu,No,tbo,none,True
demo_00001,4.175953946080824,3.6205118419396993,4.024176186954237,1.5445909544726022,441.3176943879149,528.4233028042979,838.0787452020008,2364.5137851269706,0.85,0.6465581763102287,881,10.23411959850048,0.8862700999447282,2,1,Ni,No,nbo,weak,True
demo_00002,6.2714058840485825,3.7749697360846612,6.268221722363127,1.159328025700286,428.6892196643429,857.8821630317492,1130.5508851433865,2080.0537377261203,0.85,0.5706249317126,248,13.230859792888246,1.062541285417487,3,1,Gd,Yes,pcu,strong,True
demo_00003,3.998182997555865,3.0629605032330134,3.611671278482757,0.9555514812507176,230.0078304581346,445.7113070193584,404.6433834937052,2839.899584035405,0.85,0.615508843846125,367,8.455979812084697,0.8181982975303563,2,1,Mg,No,qtz,weak,True
demo_00004,4.762709742244884,3.336067382063584,4.6840486738985465,0.9687539346001125,741.3018161313378,942.3375760817358,936.848718679878,2972.9549766685227,0.85,0.749450705011007,771,7.500920582114617,0.7706610452962089,3,1,Zn,Yes,nbo,strong,True
demo_00005,6.825593836281763,4.18476194781435,6.727995127005473,0.9528705230691114,690.9110406034656,871.3918493573146,813.4166783772764,2333.876870516892,0.85,0.5696631465747901,300,14.928327389907233,0.6727203374411616,3,1,"Cr,Mn",No,rtl,none,True
demo_00006,4.597964287741023,2.549867218384068,4.5596634248950965,0.984168887907307,431.7755073011336,676.9574934266046,736.6007044373262,3050.4871384951725,0.85,0.7699493994193085,735,16.43535800546572,0.8186666611399565,3,1,Cr,No,dia,none,True
demo_00007,6.128988906810663,3.990811586436879,5.809159546272175,0.7074441294987575,627.0808759539761,751.071744374219,489.19274264965816,3011.5898898293385,0.85,0.8045859685307694,125,14.320231171665938,0.7118498891240577,3,2,Eu,Yes,fcu,strong,True
demo_00008,12.138281612102485,6.953738901248674,11.880653775143111,1.0594446601021799,191.30278420132663,503.15135928606674,537.5491929736473,2562.4519154160494,0.85,0.5718008805500665,137,9.404908661308337,0.9952115553529994,3,1,Zn,Yes,sql,none,True
demo_00009,5.023217177809842,3.4630276949131322,4.618888581220809,1.0242776579217494,290.77440552891994,930.0744927403828,1041.6033177431793,2126.987081812158,0.85,0.5092309385728983,31,9.039720259934096,0.8684673003238265,1,1,Ni,No,sql,none,True
demo_00010,9.871668678500537,8.388723377717573,9.47989198594536,0.88477115275883,137.44417045474935,806.2201330312784,697.6880643019779,2397.2362925276643,0.85,0.7929392786108178,129,9.270043067289029,0.9927357982007828,3,2,Co,No,tbo,none,True
demo_00011,7.240462124081731,5.910270101123318,6.776091575840874,1.204266189706741,322.8250856438701,822.6069900096998,951.1302303644425,2250.9221648846005,0.85,0.5256621542898604,551,15.561579719001719,1.0558836467740114,3,1,Al,No,nbo,weak,True
demo_00012,3.0,2.701595919988961,2.8788520951985928,1.2339613180413553,500.6007430045376,875.4158835280887,1043.1097286099164,3262.493252337157,0.85,0.7297976950383002,99,8.699804567433942,0.7761930559231008,2,2,Cd,No,fcu,weak,True
demo_00013,3.154820136605429,2.5,3.0524653120927243,0.9551734749979023,226.86902042503652,623.6686089438207,642.4140374247651,3082.623936829006,0.85,0.4807985827403886,558,15.53616203851772,0.8383168287823828,2,1,Er,No,qtz,weak,True
demo_00014,3.608174834438823,2.9294285007878513,3.37258579391252,1.0995530472318107,239.41427464396637,430.8071795173945,460.287717093741,2139.9300010658685,0.85,0.5475921334798524,547,14.547612629829874,1.0398024161844572,3,1,Ni,No,dia,weak,True
demo_00015,3.5700604968117364,2.8423980468605876,3.2902528281544567,1.9055183044153,179.38544437895555,975.6100424807788,1860.2900003822888,2694.6615372845145,0.85,0.555952805750188,226,16.950907926135006,0.9027061095252521,3,2,Cu,No,sql,none,True
demo_00016,5.232321844824835,3.2979697765944302,4.877407127616423,1.892151640510748,364.6493043601582,916.5180509947297,1797.3452101741314,2380.280070209056,0.85,0.5685599108981204,52,16.252612315952334,0.9425811924397473,3,1,Mn,No,dia,strong,True
demo_00017,7.443357500811162,4.929925678898404,7.193228864788886,0.7810684334545924,435.97033113003016,647.2210632803944,573.8657336909296,2080.9504200466913,0.85,0.7800632785268773,162,14.170622329124999,1.0039573085763702,3,1,Zn,Yes,sql,strong,True
demo_00018,10.253090869300836,7.649184408047065,9.921787084864322,0.8299433516940045,190.6905723158443,855.0042438086089,779.562846535319,2450.934120383692,0.85,0.52710530113137,145,6.12527526653286,0.9875817584396844,1,1,Er,Yes,sql,strong,True
demo_00019,6.385868769495099,5.394546987791261,6.220677159550998,0.7792088530528012,677.5425469423861,1041.754156517949,768.1699779749781,2202.671249612841,0.85,0.5265372477901271,484,14.440513503427628,0.9292431463949247,3,1,Cd,No,fcu,none,True
